,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
112,210,664,664,20792.381609999997,20356.158199999998,-91606.91609999973,-0.020979963631977516,2022-10-27,2022-10-27,0 days
113,207,668,670,20648.10748,20214.930399999997,-89667.65556000028,-0.020979020979021046,2022-10-31,2022-11-02,2 days
114,203,676,676,20611.260669999996,20179.3074,-87686.51380999888,-0.020957149439612355,2022-11-08,2022-11-08,0 days
115,-233,679,679,17584.847550000002,16897.104,160244.24715000068,0.039110009230646,2022-11-11,2022-11-11,0 days
116,-256,683,683,16601.102280000003,16951.8492,-89791.21151999943,-0.021127929584685345,2022-11-15,2022-11-15,0 days
117,-251,692,698,16586.50689,16935.1722,-87514.99281000008,-0.021021021021021102,2022-11-24,2022-11-30,6 days
118,241,702,711,16902.085199999998,17560.608,158703.9948000006,0.038961038961039085,2022-12-04,2022-12-13,9 days
119,254,715,717,16648.1315,16299.477599999998,-88558.09060000029,-0.020942524390800354,2022-12-17,2022-12-19,2 days
120,-252,718,718,16422.44112,16767.657600000002,-86994.5529600007,-0.021021021021021102,2022-12-20,2022-12-20,0 days
121,-6,729,730,16590.87252,17179.04,-3529.0048800000004,-0.03545126871965132,2022-12-31,2023-01-10,10 days
122,-242,722,730,16761.74148,17179.04,-100986.24184000006,-0.024895892858025404,2022-12-24,2023-01-10,17 days
123,198,734,734,19949.940009999995,20727.2104,153899.53722000102,0.03896103896103931,2023-01-14,2023-01-14,0 days
124,194,738,738,21153.42229,20712.1138,-85613.84705999988,-0.02086227391246387,2023-01-18,2023-01-18,0 days
125,176,742,742,22806.133349999996,22327.878999999997,-84172.76559999987,-0.02097042679968364,2023-01-22,2023-01-22,0 days
126,170,746,747,23083.480419999996,22599.7212,-82239.06739999936,-0.02095694458539521,2023-01-26,2023-01-27,1 days
127,162,750,750,23767.113369999995,23267.453999999998,-80944.8179399996,-0.02102314076688383,2023-01-30,2023-01-30,0 days
128,-164,760,760,22938.88815,22044.48,146682.9365999999,0.03899091116148967,2023-02-09,2023-02-09,0 days
